registro_id,fecha,lote,pieza,maquina,operario,medida_nominal_mm,medida_real_mm,tolerancia_mm,material,turno
CC-021,04/06/2026,L-02,P-021,Centro-CNC-01,Ana,25,24.979,0.04,Bronce SAE 40,Mañana
CC-022,04/06/2026,L-02,P-022,Torno-01,Carlos,40,40,0.04,Acero 1045,Tarde
CC-023,04/06/2026,L-02,P-023,Torno-02,Diana,50,50.037,0.06,Aluminio 6061,Mañana
CC-024,04/06/2026,L-02,P-024,Centro-CNC-01,Mateo,75,74.994,0.06,Bronce SAE 40,Tarde
CC-025,05/06/2026,L-03,P-025,Torno-01,Ana,25,25,0.04,Acero 1045,Mañana
CC-026,05/06/2026,L-03,P-026,Torno-02,Carlos,40,40.028,0.04,Aluminio 6061,Tarde
CC-027,05/06/2026,L-03,P-027,Centro-CNC-01,Diana,50,50.151,0.06,Bronce SAE 40,Mañana
CC-028,05/06/2026,L-03,P-028,Torno-01,Mateo,75,75.009,0.06,Acero 1045,Tarde
CC-029,05/06/2026,L-03,P-029,Torno-02,Ana,25,24.997,0.04,Aluminio 6061,Mañana
CC-030,05/06/2026,L-03,P-030,Centro-CNC-01,Carlos,40,40.013,0.04,Bronce SAE 40,Tarde
CC-031,06/06/2026,L-03,P-031,Torno-01,Diana,50,50.014,0.06,Acero 1045,Mañana
CC-032,06/06/2026,L-03,P-032,Torno-02,Mateo,75,75.028,0.06,Aluminio 6061,Tarde
CC-033,06/06/2026,L-03,P-033,Centro-CNC-01,Ana,25,24.979,0.04,Bronce SAE 40,Mañana
CC-034,06/06/2026,L-03,P-034,Torno-01,Carlos,40,39.981,0.04,Acero 1045,Tarde
CC-035,06/06/2026,L-03,P-035,Torno-02,Diana,50,50.043,0.06,Aluminio 6061,Mañana
CC-036,06/06/2026,L-03,P-036,Centro-CNC-01,Mateo,75,74.991,0.06,Bronce SAE 40,Tarde
CC-037,07/06/2026,L-04,P-037,Torno-01,Ana,25,25.021,0.04,Acero 1045,Mañana
CC-038,07/06/2026,L-04,P-038,Torno-02,Carlos,40,,0.04,Aluminio 6061,Tarde
CC-039,07/06/2026,L-04,P-039,Centro-CNC-01,Diana,50,49.892,0.06,Bronce SAE 40,Mañana
CC-040,07/06/2026,L-04,P-040,Torno-01,Mateo,75,75.133,0.06,Acero 1045,Tarde
CC-041,07/06/2026,L-04,P-041,Torno-02,Ana,25,24.972,0.04,Aluminio 6061,Mañana
CC-042,07/06/2026,L-04,P-042,Centro-CNC-01,Carlos,40,40.002,0.04,Bronce SAE 40,Tarde
CC-043,08/06/2026,L-04,P-043,Torno-01,Diana,50,50.002,0.06,Acero 1045,Mañana
CC-044,08/06/2026,L-04,P-044,Torno-02,Mateo,75,75.03,0.06,Aluminio 6061,Tarde
CC-045,08/06/2026,L-04,P-045,Centro-CNC-01,Ana,25,24.988,0.04,Bronce SAE 40,Mañana
CC-046,08/06/2026,L-04,P-046,Torno-01,Carlos,40,39.984,0.04,Acero 1045,Tarde
CC-047,08/06/2026,L-04,P-047,Torno-02,Diana,50,50.018,0.06,Aluminio 6061,Mañana
CC-048,08/06/2026,L-04,P-048,Centro-CNC-01,Mateo,75,75.013,0.06,Bronce SAE 40,Tarde
CC-049,09/06/2026,L-05,P-049,Torno-01,Ana,25,24.98,0.04,Acero 1045,Mañana
CC-050,09/06/2026,L-05,P-050,Torno-02,Carlos,40,40.024,0.04,Aluminio 6061,Tarde
CC-051,09/06/2026,L-05,P-051,Centro-CNC-01,Diana,50,49.977,0.06,Bronce SAE 40,Mañana
CC-052,09/06/2026,L-05,P-052,Torno-01,Mateo,75,74.956,0.06,Acero 1045,Tarde
CC-053,09/06/2026,L-05,P-053,Torno-02,Ana,25,25.065,0.04,Aluminio 6061,Mañana
CC-054,09/06/2026,L-05,P-054,Centro-CNC-01,Carlos,40,40.024,0.04,Bronce SAE 40,Tarde
CC-055,10/06/2026,L-05,P-055,Torno-01,Diana,50,49.998,0.06,Acero 1045,Mañana
CC-056,10/06/2026,L-05,P-056,Torno-02,Mateo,75,74.995,0.06,Aluminio 6061,Tarde
CC-057,10/06/2026,L-05,P-057,Centro-CNC-01,Ana,25,25.028,0.04,Bronce SAE 40,Mañana
CC-058,10/06/2026,L-05,P-058,Torno-01,Carlos,40,39.916,0.04,Acero 1045,Tarde
CC-059,10/06/2026,L-05,P-059,Torno-02,Diana,50,49.985,0.06,Aluminio 6061,Mañana
CC-060,10/06/2026,L-05,P-060,Centro-CNC-01,Mateo,75,74.966,0.06,Bronce SAE 40,Tarde
CC-061,11/06/2026,L-06,P-061,Torno-01,Ana,25,24.976,0.04,Acero 1045,Mañana
CC-062,11/06/2026,L-06,P-062,Torno-02,Carlos,40,40.021,0.04,Aluminio 6061,Tarde
CC-063,11/06/2026,L-06,P-063,Centro-CNC-01,Diana,50,49.996,0.06,Bronce SAE 40,Mañana
CC-064,11/06/2026,L-06,P-064,Torno-01,Mateo,75,74.984,0.06,Acero 1045,Tarde
CC-065,11/06/2026,L-06,P-065,Torno-02,Ana,25,24.989,0.04,Aluminio 6061,Mañana
CC-066,11/06/2026,L-06,P-066,Centro-CNC-01,Carlos,40,40.053,0.04,Bronce SAE 40,Tarde
CC-067,12/06/2026,L-06,P-067,Torno-01,Diana,50,50.011,0.06,Acero 1045,Mañana
CC-068,12/06/2026,L-06,P-068,Torno-02,Mateo,75,74.986,0.06,Aluminio 6061,Tarde
CC-069,12/06/2026,L-06,P-069,Centro-CNC-01,Ana,25,25.021,0.04,Bronce SAE 40,Mañana
CC-070,12/06/2026,L-06,P-070,Torno-01,Carlos,40,40.016,0.04,Acero 1045,Tarde
CC-071,12/06/2026,L-06,P-071,Torno-02,Diana,50,50.024,0.06,Aluminio 6061,Mañana
CC-072,12/06/2026,L-06,P-072,Centro-CNC-01,Mateo,75,,0.06,Bronce SAE 40,Tarde
CC-073,13/06/2026,L-07,P-073,Torno-01,Ana,25,25,0.04,Acero 1045,Mañana
CC-074,13/06/2026,L-07,P-074,Torno-02,Carlos,40,40.019,0.04,Aluminio 6061,Tarde
CC-075,13/06/2026,L-07,P-075,Centro-CNC-01,Diana,50,49.991,0.06,Bronce SAE 40,Mañana
CC-076,13/06/2026,L-07,P-076,Torno-01,Mateo,75,75.016,0.06,Acero 1045,Tarde
CC-077,13/06/2026,L-07,P-077,Torno-02,Ana,25,24.96,0.04,Aluminio 6061,Mañana
CC-078,13/06/2026,L-07,P-078,Centro-CNC-01,Carlos,40,40,0.04,Bronce SAE 40,Tarde
CC-079,14/06/2026,L-07,P-079,Torno-01,Diana,50,50.094,0.06,Acero 1045,Mañana
CC-080,14/06/2026,L-07,P-080,Torno-02,Mateo,75,74.979,0.06,Aluminio 6061,Tarde
CC-081,14/06/2026,L-07,P-081,Centro-CNC-01,Ana,25,25.031,0.04,Bronce SAE 40,Mañana
CC-082,14/06/2026,L-07,P-082,Torno-01,Carlos,40,40.005,0.04,Acero 1045,Tarde
CC-083,14/06/2026,L-07,P-083,Torno-02,Diana,50,50.016,0.06,Aluminio 6061,Mañana
CC-084,14/06/2026,L-07,P-084,Centro-CNC-01,Mateo,75,74.992,0.06,Bronce SAE 40,Tarde
